state,year,quater,total_transaction_count,total_amount
sikkim,2021,2,976714,2424899579.6752996
sikkim,2021,3,1160594,2989336863.808393
sikkim,2021,4,1584345,4196783261.635808
sikkim,2022,1,1744302,4367431275.863425
sikkim,2022,2,2322081,5611105670.307137
sikkim,2022,3,2396758,5162880543.8914585
sikkim,2022,4,3058339,6458385389.419812
tamil-nadu,2018,1,6726622,11261557697.516668
tamil-nadu,2018,2,9992128,20125844276.266468
tamil-nadu,2018,3,15774078,29330092241.184162
tamil-nadu,2018,4,22457444,43302073975.894104
tamil-nadu,2019,1,32275045,56204036816.12997
tamil-nadu,2019,2,32171737,64207676025.75768
tamil-nadu,2019,3,41410183,78959604643.63841
tamil-nadu,2019,4,56596411,103190865512.54333
tamil-nadu,2020,1,66953473,116569686179.44032
tamil-nadu,2020,2,51870110,95826508896.82855
tamil-nadu,2020,3,70277825,143841415498.6641
tamil-nadu,2020,4,111179701,206473197500.99478
tamil-nadu,2021,1,136556674,248668143873.65063
tamil-nadu,2021,2,146158442,263487341026.55188
tamil-nadu,2021,3,204357404,365207323053.93335
tamil-nadu,2021,4,259155976,443723952594.8025
tamil-nadu,2022,1,294573150,512789201600.63257
tamil-nadu,2022,2,354506937,590134727678.3965
tamil-nadu,2022,3,393496175,631879220373.2683
tamil-nadu,2022,4,436316636,675689667591.438
telangana,2018,1,8522766,13308204118.54235
telangana,2018,2,10764670,23017201517.65231
telangana,2018,3,19332703,32030093209.723553
telangana,2018,4,28921154,49509088448.04851
telangana,2019,1,65290702,95523262035.66469
telangana,2019,2,89610379,155676443182.43506
telangana,2019,3,121495376,201930021130.42596
telangana,2019,4,163572258,280746765547.74384
telangana,2020,1,199409525,371343780368.21606
telangana,2020,2,152055143,321531839352.4309
telangana,2020,3,236372126,505961144755.8699
telangana,2020,4,343643787,696350439226.9569
telangana,2021,1,412572110,799359264046.5896
telangana,2021,2,495867544,1027958332797.5839
telangana,2021,3,622886768,1178289126292.2537
telangana,2021,4,775989773,1463758189500.9102
telangana,2022,1,886453385,1670638169828.974
telangana,2022,2,1063382557,1951414544517.0774
telangana,2022,3,1628165401,2706325865752.072
telangana,2022,4,1819506832,2978252562916.146
tripura,2018,1,148157,137978914.5306225
tripura,2018,2,214559,236891718.71613592
tripura,2018,3,377703,453863388.04059273
tripura,2018,4,448059,624885599.4644467
tripura,2019,1,580926,756894941.61582
tripura,2019,2,532558,841821482.8473772
tripura,2019,3,711717,1017377422.8172247
tripura,2019,4,801824,1215400160.2581887
tripura,2020,1,924502,1588778806.3885026
tripura,2020,2,1052520,1769175883.5859616
tripura,2020,3,1317885,2341819516.215884
tripura,2020,4,1651890,3182130996.2213087
tripura,2021,1,1511423,3335341569.7934213
tripura,2021,2,1744429,3468154361.036273
tripura,2021,3,2081200,4364133768.181475
tripura,2021,4,2520693,5496929464.299447
tripura,2022,1,2871190,6247329764.349843
tripura,2022,2,3418664,6878271042.035301
tripura,2022,3,4256579,8648352804.91114
tripura,2022,4,5198190,10452971818.154097
uttar-pradesh,2018,1,12537805,13939970923.222658
uttar-pradesh,2018,2,17710943,25720201695.69999
uttar-pradesh,2018,3,26515356,37012114369.241066
uttar-pradesh,2018,4,36100767,55096743575.9173
uttar-pradesh,2019,1,57324504,76524180134.00966
uttar-pradesh,2019,2,58883500,98917519370.67569
uttar-pradesh,2019,3,68623959,111268137475.04973
uttar-pradesh,2019,4,86905005,145538926507.29608
uttar-pradesh,2020,1,97239132,172416434960.6986
uttar-pradesh,2020,2,100851965,178744016130.28818
uttar-pradesh,2020,3,127405259,248689955423.06277
uttar-pradesh,2020,4,178167517,357428826778.2678
uttar-pradesh,2021,1,204499547,396287587577.56604
uttar-pradesh,2021,2,241949131,482172489166.3863
uttar-pradesh,2021,3,306543384,557080841279.9348
uttar-pradesh,2021,4,406157932,773890970072.2231
uttar-pradesh,2022,1,473953246,883123174117.026
uttar-pradesh,2022,2,595298776,1067515182420.0088
uttar-pradesh,2022,3,703589072,1121370050898.776
uttar-pradesh,2022,4,836369071,1376378802069.5117
uttarakhand,2018,1,1246685,1508545358.5238864
uttarakhand,2018,2,1704122,2679755378.5510406
uttarakhand,2018,3,2229132,3726573039.858497
uttarakhand,2018,4,3178761,5654272137.963898
uttarakhand,2019,1,5546001,7183529175.273949
uttarakhand,2019,2,4813275,8588532850.91849
uttarakhand,2019,3,5710476,9729032070.017326
uttarakhand,2019,4,7362116,12573706305.150774
uttarakhand,2020,1,9131784,16158080258.987564
uttarakhand,2020,2,9047770,16094187702.101011
uttarakhand,2020,3,11818935,22103510968.006535
uttarakhand,2020,4,17613271,31792739329.110382
uttarakhand,2021,1,20608402,36288189399.89842
uttarakhand,2021,2,24000432,40990817874.83823
uttarakhand,2021,3,31042284,50527496783.56443
uttarakhand,2021,4,40361280,66148108159.42113
uttarakhand,2022,1,44560772,70978782500.07463
uttarakhand,2022,2,58166878,88313371025.33424
uttarakhand,2022,3,63996519,92641259938.36305
uttarakhand,2022,4,77983880,115496046831.35936
west-bengal,2018,1,11710225,10625978552.140223
west-bengal,2018,2,18082446,18629183470.203896
west-bengal,2018,3,53705416,41843934183.178474
west-bengal,2018,4,36513548,40489619211.70436
west-bengal,2019,1,47626388,50164672623.87978
west-bengal,2019,2,47023535,57105691119.11872
west-bengal,2019,3,66444829,70540532616.83047
west-bengal,2019,4,96805838,88203610254.64673
west-bengal,2020,1,66250381,96653305190.93819
west-bengal,2020,2,57676797,100099431877.35533
west-bengal,2020,3,79954504,156813355855.14105
west-bengal,2020,4,100340645,199165491365.64807
west-bengal,2021,1,118254052,242937207475.5219
west-bengal,2021,2,141897437,279434811058.56384
west-bengal,2021,3,181712988,362457066256.5123
west-bengal,2021,4,225029560,462218037262.097
west-bengal,2022,1,260505092,551426663209.562
west-bengal,2022,2,315742141,648575179584.2454
west-bengal,2022,3,356792388,704749898612.144
west-bengal,2022,4,405847597,787775633607.25
